Fighter,KD,Strikes,TD,Sub,Win_Rate,Total_Matches
Bo Nickal,0.0,1.0,1.0,2.0,100.0,1.0
Bob Cook,0.0,22.0,1.0,2.0,100.0,1.0
Bob Gilstrap,0.0,0.0,0.0,0.0,0.0,1.0
Bobby Green,0.14583333333333331,75.08333333333334,0.9583333333333334,0.22916666666666666,52.083333333333336,10.0
Bobby Hoffman,0.25,10.5,1.5,0.5,0.0,1.5
Bobby Moffett,0.0,32.0,2.75,1.25,0.0,1.5
Bobby Nash,0.25,16.5,0.75,0.5,0.0,1.5
Bobby Southworth,0.0,21.0,1.0,0.0,0.0,1.0
Bobby Voelker,0.0,44.16666666666667,0.6666666666666666,0.0,0.0,2.0
Bojan Mihajlovic,0.0,12.0,0.0,0.0,0.0,1.5
Bojan Velickovic,0.125,31.375,0.5,0.5,25.0,3.0
Boston Salmon,0.0,6.0,0.0,0.0,0.0,1.0
Brad Blackburn,1.1666666666666667,58.91666666666667,0.6666666666666666,0.5833333333333333,66.66666666666666,2.5
Brad Gumm,0.0,15.0,0.0,0.5,0.0,1.0
Brad Imes,0.0,39.666666666666664,1.6666666666666667,1.0,0.0,3.0
Brad Katona,0.0,50.0,1.25,0.0,50.0,4.0
Brad Kohler,0.5,7.5,2.0,0.0,50.0,2.0
Brad Morris,0.0,2.5,0.0,0.0,0.0,1.0
Brad Pickett,0.20833333333333331,33.4375,1.6458333333333333,0.16666666666666666,39.58333333333333,7.0
Brad Riddell,0.25,51.75,1.2,0.0,70.0,3.5
Brad Scott,0.25,40.875,0.25,0.5,37.5,4.0
Brad Tavares,0.19090909090909092,43.695454545454545,0.7727272727272727,0.0,66.36363636363637,10.5
Brady Hiestand,0.0,42.5,4.5,0.5,50.0,2.0
Branden Lee Hinkle,0.0,10.0,1.75,1.0,25.0,1.5
Brandon Davis,0.0,49.964285714285715,0.6071428571428572,0.07142857142857142,14.285714285714285,4.5
Brandon Jenkins,0.0,29.5,0.0,0.0,0.0,2.0
Brandon Melendez,0.0,6.0,0.0,0.0,0.0,1.0
